Field,Category,Type,Vehicle Data Equivalent,Description,Proto Enum Name
"ACChargingEnergyIn","Charging","real","","The amount of energy in kWh added during an AC charging session. This is measured from the charger. This field should be ignored during DC charging.",""
"ACChargingPower","Charging","real","charge_state.charger_power","Total AC charger input power.",""
"AutoSeatClimateLeft","Climate","boolean","climate_state.auto_seat_climate_left","If the left front seat has auto seat climate enabled.",""
"AutoSeatClimateRight","Climate","boolean","climate_state.auto_seat_climate_right","If the right front seat has auto seat climate enabled.",""
"AutomaticBlindSpotCamera","Safety","boolean","","Indicates whether the blind spot camera is enabled.",""
"AutomaticEmergencyBrakingOff","Safety","boolean","","Indicates whether automatic emergency braking is disabled.",""
"BMSState","Charging","enum","","BMS operating state.","BMSStateValue"
"BatteryHeaterOn","Charging","boolean","climate_state.battery_heater_on","If the battery is actively heating itself. This may be done in cold weather or when preconditioning for supercharging. This field is not available on Pre-2021 Model S/X.",""
"BatteryLevel","Charging","real","charge_state.battery_level","The state of charge of the vehicle, as a percent of total battery capacity.",""
"BlindSpotCollisionWarningChime","Safety","boolean","","If the blindspot collision warning chime is enabled.",""
"BmsFullchargecomplete","Charging","boolean","","Indicates BMS is fully charged.",""
"BrakePedal","Driving","boolean","","Status of the brake pedal.",""
"BrakePedalPos","Driving","real","","Master cylinder pressure measured in the ESP.",""
"BrickVoltageMax","Charging","integer","","Brick voltage maximum.",""
"BrickVoltageMin","Charging","integer","","Brick voltage minimum.",""
"CabinOverheatProtectionMode","Climate","enum","climate_state.cabin_overheat_protection","The mode of cabin overheat protection.","CabinOverheatProtectionModeState"
"CabinOverheatProtectionTemperatureLimit","Climate","enum","climate_state.cop_activation_temperature","The temperature limit of cabin overheat protection, represented as low, medium, or high.","CabitOverheatProtectionTempLimit"
"CarType","Vehicle Configuration","enum","vehicle_config.car_type","The model of the vehicle.",""
"CenterDisplay","Vehicle State","enum","vehicle_state.center_display_state","The state of the center display.","DisplayState"
"ChargeAmps","Charging","real","charge_state.charger_actual_current","AC charger's sensed input line current.",""
"ChargeCurrentRequest","Charging","integer","charge_state.charge_current_request","The requested amps to charge the vehicle.",""
"ChargeCurrentRequestMax","Charging","integer","charge_state.charge_current_request_max","The maximum available amps available to charge.",""
"ChargeEnableRequest","Charging","boolean","charge_state.charge_enable_request","If charging is enabled.",""
"ChargeLimitSoc","Charging","integer","charge_state.charge_limit_soc","The state of charge at which charging will terminate, as a percentage of battery capacity.",""
"ChargePort","Charging","enum","vehicle_config.charge_port_type","The type of charge port installed.","ChargePortValue"
"ChargePortColdWeatherMode","Charging","boolean","charge_state.charge_port_cold_weather_mode","Indicates whether the charge port is in cold weather mode.",""
"ChargePortDoorOpen","Charging","boolean","charge_state.charge_port_door_open","Indicates whether the charge port door is open based only on the door potentiometer.",""
"ChargePortLatch","Charging","enum","charge_state.charge_port_latch","Sensed state of the charge port latch. Early Model 3 vehicles will not latch in cold weather (below 5 degrees Celsius).","ChargePortLatchValue"
"ChargeRateMilePerHour","Charging","real","charge_state.charge_rate","The number of miles being added per hour of charging, given the current charge rate.",""
"ChargeState","Charging","string","","The non-detailed charge state of the vehicle. See DetailedChargeState for detailed charge state data.",""
"ChargerPhases","Charging","integer","charge_state.charger_phases","The number of phases available from the connected charger.",""
"ChargerVoltage","Charging","real","charge_state.charger_voltage","RMS value of AC charger's sensed input voltage. This field changes frequently, even when not charging. It is recommended to set minimum_delta, which is available on firmware version 2024.44.32 and later. Beginning with firmware version 2025.2.6, minimum_delta is set to 0.3 by default.",""
"ChargingCableType","Charging","enum","charge_state.conn_charge_cable","The type of charging cable connected to the vehicle. If no charging cable is present, Invalid will be returned.","CableType"
"ClimateKeeperMode","Climate","enum","climate_state.climate_keeper_mode","The climate keeper mode.","ClimateKeeperModeState"
"ClimateSeatCoolingFrontLeft","Climate","integer","climate_state.seat_fan_front_left","The seat cooling level requested by the front left seat.",""
"ClimateSeatCoolingFrontRight","Climate","Integer","climate_state.seat_fan_front_right","The seat cooling level requested by the front right seat.",""
"CruiseFollowDistance","Safety","enum","","The following distance selected in vehicle controls.","FollowDistance"
"CruiseSetSpeed","Driving","real","","Cruise control set point.",""
"CurrentLimitMph","Vehicle State","real","vehicle_state.speed_limit_mode.current_limit_mph","The maximum speed the vehicle is allowed to travel.",""
"DCChargingEnergyIn","Charging","real","charge_state.charge_energy_added","The amount of energy in kWh added during a charging session. This is measured at the battery. It can be relied upon for both AC and DC charging.",""
"DCChargingPower","Charging","real","charge_state.charger_power","The kilowatts added during a DC charging session.",""
"DCDCEnable","Charging","boolean","","The state of the PCS's DCDC enable line.",""
"DefrostForPreconditioning","Climate","boolean","","If the vehicle is defrosting due to preconditioning.",""
"DefrostMode","Climate","enum","climate_state.defrost_mode","The state of the vehicle defrost.","DefrostModeState"
"DestinationLocation","Location","Location","drive_state.active_route_latitude, drive_state.active_route_longitude","The coordinates of the current navigation route's destination. If no navigation destination is set, Invalid will be returned.",""
"DestinationName","Location","string","drive_state.active_route_destination","The name of the active navigation destination. If no destination is present, Invalid will be reported.",""
"DetailedChargeState","Charging","enum","","The detailed charge state, rather than ChargeState which provides little detail. This field is added in firmware version 2024.38.","DetailedChargeStateValue"
"DiAxleSpeedF","Powertrain","real","","Front drive inverter motor speed normalized at axle level.",""
"DiAxleSpeedR","Powertrain","real","","Rear drive inverter motor speed normalized at axle level.",""
"DiAxleSpeedREL","Powertrain","real","","Rear Left drive inverter motor speed normalized at axle level.",""
"DiAxleSpeedRER","Powertrain","real","","Rear Right drive inverter motor speed normalized at axle level.",""
"DiHeatsinkTF","Powertrain","real","","Front drive inverter heatsink temperature.",""
"DiHeatsinkTR","Powertrain","real","","Rear drive inverter heatsink temperature.",""
"DiHeatsinkTREL","Powertrain","real","","Rear left drive inverter heatsink temperature.",""
"DiHeatsinkTRER","Powertrain","real","","Rear right drive inverter heatsink temperature.",""
"DiInverterTF","Powertrain","real","","Front drive inverter measured outlet temperature.",""
"DiInverterTR","Powertrain","real","","Rear drive inverter measured outlet temperature.",""
"DiInverterTREL","Powertrain","real","","Rear left drive inverter measured outlet temperature.",""
"DiInverterTRER","Powertrain","real","","Rear right drive inverter measured outlet temperature.",""
"DiMotorCurrentF","Powertrain","real","","Front drive inverter motor current.",""
"DiMotorCurrentR","Powertrain","real","","Rear drive inverter motor current.",""
"DiMotorCurrentREL","Powertrain","real","","Rear Left drive inverter motor current.",""
"DiMotorCurrentRER","Powertrain","real","","Rear Right drive inverter motor current.",""
"DiSlaveTorqueCmd","Powertrain","real","","Torque command to secondary drive unit.",""
"DiStateF","Powertrain","enum","","Front drive inverter state.","DriveInverterState"
"DiStateR","Powertrain","enum","","Rear drive inverter state.","DriveInverterState"
"DiStateREL","Powertrain","enum","","Rear Left drive inverter state.","DriveInverterState"
"DiStateRER","Powertrain","enum","","Rear Right drive inverter state.","DriveInverterState"
"DiStatorTempF","Powertrain","real","","Front Drive Unit stator temperature.",""
"DiStatorTempR","Powertrain","real","","Rear Drive Unit stator temperature.",""
"DiStatorTempREL","Powertrain","real","","Rear Left Drive Unit stator temperature.",""
"DiStatorTempRER","Powertrain","real","","Rear Right Drive Unit stator temperature.",""
"DiTorqueActualF","Powertrain","real","","Actual torque the front drive unit is controlling to referred to the axle/wheel.",""
"DiTorqueActualR","Powertrain","real","","Actual torque the rear drive unit is controlling to referred to the axle/wheel.",""
"DiTorqueActualREL","Powertrain","real","","Actual torque the rear left drive unit is controlling to referred to the axle/wheel.",""
"DiTorqueActualRER","Powertrain","real","","Actual torque the rear right drive unit is controlling to referred to the axle/wheel.",""
"DiTorquemotor","Powertrain","real","","Torque commanded to the drive unit, referred to the axle/wheel.",""
"DiVBatF","Powertrain","real","","Front drive inverter measured battery voltage.",""
"DiVBatR","Powertrain","real","","Rear drive inverter measured battery voltage.",""
"DiVBatREL","Powertrain","real","","Rear left drive inverter measured battery voltage.",""
"DiVBatRER","Powertrain","real","","Rear right drive inverter measured battery voltage.",""
"DoorState","Vehicle State","string","vehicle_state.df, vehicle_state.dr, vehicle_state.pf, vehicle_state.pr, vehicle_state.ft, vehicle_state.rt","The doors which are currently open. This field has passenger front and driver rear doors swapped in firmware versions prior to 2024.44.32.",""
"DriveRail","Driving","boolean","","On/Off drive power state. All ECUs related to drive are ready/powered. Typically means brake pedal is pressed + key authenticated or driving.",""
"DriverSeatBelt","Safety","boolean","","Indication that the driver has unbuckled their seat belt.",""
"DriverSeatOccupied","Vehicle State","boolean","","Driver presence, determined by combination of sources depending on platform.",""
"EfficiencyPackage","Vehicle Configuration","string","vehicle_config.efficiency_package","The efficiency package of the vehicle. This is returned as a string since possible values vary by vehicle model and platform.",""
"EmergencyLaneDepartureAvoidance","Safety","boolean","","If emergence lane keep assist is enabled.",""
"EnergyRemaining","Charging","real","","The nominal energy remaining in the battery pack, measured in kWh.",""
"EstBatteryRange","Charging","real","charge_state.est_battery_range","The estimated range of the vehicle given its current state of charge. Takes driving conditions into account.",""
"EstimatedHoursToChargeTermination","Charging","real","","The number of hours until reaching the desired state of charge. Desired state of charge is defined by ChargeLimitSoc.",""
"EuropeVehicle","Vehicle Configuration","boolean","vehicle_config.eu_vehicle","If this vehicle is classified as a Europe vehicle.",""
"ExpectedEnergyPercentAtTripArrival","Charging","real","drive_state.active_route_energy_at_arrival","The expected energy percentage upon arriving at destination. If no navigation destination is set, Invalid will be returned.",""
"ExteriorColor","Vehicle Configuration","string","vehicle_config.exterior_color","The exterior color of the vehicle.",""
"FastChargerPresent","Charging","boolean","charge_state.fast_charger_present","Is a fast charger is present.",""
"FastChargerType","Charging","enum","charge_state.fast_charger_type","The type of fast charger connected to the vehicle.","FastCharger"
"FdWindow","Vehicle State","enum","vehicle_state.fd_window","The state of the front driver window.","WindowState"
"ForwardCollisionWarning","Safety","enum","","The forward collision sensitivity selected in vehicle settings.","ForwardCollisionSensitivity"
"FpWindow","Vehicle State","enum","vehicle_state.fp_window","The state of the front passenger window.","WindowState"
"Gear","Driving","enum","drive_state.shift_state","Detects the current operating gear reported by the drive inverter.","ShiftState"
"GpsHeading","Location","real","drive_state.heading","The orientation of the vehicle. 0 represents North, 90 represents East, etc.",""
"GpsState","Location","boolean","","If GPS lock is acquired.",""
"GuestModeEnabled","Vehicle State","boolean","","If guest mode is enabled.",""
"GuestModeMobileAccessState","Vehicle State","enum","","The state of guest mode.","GuestModeMobileAccess"
"HomelinkDeviceCount","Vehicle State","integer","vehicle_state.homelink_nearby","The number of nearby homelink devices.",""
"HomelinkNearby","Vehicle State","boolean","vehicle_state.homelink_device_count","If a homelink device is nearby.",""
"HvacACEnabled","Climate","boolean","","If AC is enabled.",""
"HvacAutoMode","Climate","enum","climate_state.hvac_auto_request","The state of HVAC auto mode.","HvacAutoModeState"
"HvacFanSpeed","Climate","integer","","The HVAC fan speed.",""
"HvacFanStatus","Climate","integer","climate_state.fan_status","Cabin airflow blower set speed segment.",""
"HvacLeftTemperatureRequest","Climate","real","climate_state.driver_temp_setting, climate_state.passenger_temp_setting","The requested temperature for the left front side of the vehicle. Reported in celsius. This differs slightly from the equivalent vehicle_data fields as it is based on the side of the vehicle instead of passenger/driver.",""
"HvacPower","Climate","enum","climate_state.is_climate_on","The power state of the HVAC system.","HvacPowerState"
"HvacRightTemperatureRequest","Climate","real","climate_state.driver_temp_setting, climate_state.passenger_temp_setting","The requested temperature for the right front side of the vehicle. Reported in celsius. This differs slightly from the equivalent vehicle_data fields as it is based on the side of the vehicle instead of passenger/driver.",""
"HvacSteeringWheelHeatAuto","Climate","boolean","climate_state.auto_steering_wheel_heat","If the steering wheel heat is set to auto.",""
"HvacSteeringWheelHeatLevel","Climate","integer","climate_state.steering_wheel_heat_level","The level of steering wheel heat.",""
"Hvil","Powertrain","enum","","The state of the high voltage interlock.","HvilStatus"
"IdealBatteryRange","Charging","real","","The current range of the vehicle, assuming ideal conditions (speed, weather, etc).",""
"InsideTemp","Climate","real","climate_state.inside_temp","Estimated temperature of the cabin (in Celsius). This field frequently changes in small increments and setting a minimum delta is recommended. This field frequently changes in small increments and setting a minimum delta is recommended.",""
"IsolationResistance","Service","real","","Resistance between HV bus and chassis.",""
"LaneDepartureAvoidance","Safety","enum","","The lane assist level selected in vehicle settings.","LaneAssistLevel"
"LateralAcceleration","Driving","real","","The lateral acceleration of the vehicle measured in m/s^2.",""
"LifetimeEnergyUsed","Charging","real","","Total energy-lost kWh count during discharging.",""
"LifetimeEnergyUsedDrive","Driving","real","","Energy (in kWh) discharged from the battery packs while the vehicle is in a drive power state. Semi-truck only.",""
"LightsHazardsActive","Vehicle State","boolean","","If the vehicle's hazard lights are activated.",""
"LightsHighBeams","Vehicle State","boolean","","If the vehicle's high beams are activated.",""
"LightsTurnSignal","Vehicle State","enum","","The state of turn signals. Left, right, both, none.","TurnSignalState"
"LocatedAtFavorite","Location","boolean","","If the vehicle is located at a favorite location of the active driver profile.",""
"LocatedAtHome","Location","boolean","","If the vehicle is located at the active driver profile’s saved home location.",""
"LocatedAtWork","Location","boolean","","If the vehicle is located at the active driver profile’s saved work location.",""
"Location","Location","enum","drive_state.latitude, drive_state.longitude","The latitude and longitude of the vehicle. Beginning with firmware version 2025.2.6, specifying minimum delta for location values is possible. Changes in distance are measured in meters.","LocationValue"
"Locked","Safety","boolean","vehicle_state.locked","If the vehicle is locked.",""
"LongitudinalAcceleration","Driving","real","","The longitudinal acceleration of the vehicle measured in m/s^2.",""
"MediaAudioVolume","Media","real","media_info.audio_volume","The volume of in-cabin audio measured from 0-11.",""
"MediaAudioVolumeIncrement","Media","real","media_info.audio_volume_increment","The size of volume increments or decrements.",""
"MediaAudioVolumeMax","Media","real","media_info.audio_volume_max","The maximum volume available to be selected.",""
"MediaNowPlayingAlbum","Media","string","media_info.now_playing_album","The album of the current track.",""
"MediaNowPlayingArtist","Media","string","media_info.now_playing_artist","The artist of the current track.",""
"MediaNowPlayingDuration","Media","integer","media_info.now_playing_duration","The length of the current track measured in milliseconds. For radio stations which do not have a duration, 18000000 is reported.",""
"MediaNowPlayingElapsed","Media","integer","media_info.now_playing_elapsed","The playback position in the current track, measured in milliseconds. The value returned while listening to a radio station may be nonsensical.",""
"MediaNowPlayingStation","Media","string","media_info.now_playing_station","The station playing media.",""
"MediaNowPlayingTitle","Media","string","media_info.now_playing_title","The title of the current track.",""
"MediaPlaybackSource","Media","string","media_info.now_playing_source","The source actively being used for playing media.",""
"MediaPlaybackStatus","Media","enum","media_info.media_playback_status","The state of media playback.","MediaStatus"
"MilesSinceReset","Safety","real","","The total number of miles driven since the Self-Driving statistics were reset. A reset may occur for certain software updates, car computer replacement, factory reset, or other triggers. This field is only available on HW4 vehicles running firmware version 2025.44.25.5 or later.",""
"MilesToArrival","Location","real","drive_state.active_route_miles_to_arrival","The miles until arriving at the navigation destination. If no navigation destination is set, Invalid will be returned.",""
"MinutesToArrival","Location","real","drive_state.active_route_minutes_to_arrival","The minutes until arriving at the navigation destination. If no navigation destination is set, Invalid will be returned.",""
"ModuleTempMax","Charging","integer","","The maximum thermistor temperature.",""
"ModuleTempMin","Charging","integer","","The minimum thermistor temperature.",""
"NotEnoughPowerToHeat","Charging","boolean","charge_state.not_enough_power_to_heat","If the battery does not have enough power available to heat itself.",""
"NumBrickVoltageMax","Charging","integer","","Brick number with maximum voltage (1 indexed).",""
"NumBrickVoltageMin","Charging","integer","","Brick number with minimum voltage (1 indexed).",""
"NumModuleTempMax","Charging","integer","","The max thermistor temperature module ID.",""
"NumModuleTempMin","Charging","integer","","The min thermistor temperature module ID.",""
"Odometer","Vehicle State","real","vehicle_state.odometer","The number of miles the vehicle has driven. Beginning with firmware version 2025.2.6, the minimum delta for Odometer is set to 0.1 by default.",""
"OffroadLightbarPresent","Vehicle Configuration","boolean","","Report whether the offroad light bar is detected.",""
"OriginLocation","Location","enum","","The coordinates of the current navigation route's origin.",""
"OutsideTemp","Climate","real","climate_state.outside_temp","Filtered ambient temperature based on vehicle speed.",""
"PackCurrent","Charging","real","","Current measured at the HV contactors of the HV battery.",""
"PackVoltage","Charging","real","","Voltage measured on the battery side of the HV contactors.",""
"PairedPhoneKeyAndKeyFobQty","Vehicle State","integer","","The number of phone keys and key fobs paired to the vehicle.",""
"PassengerSeatBelt","Safety","boolean","","This field improperly reports if the 2nd row center seat belt is buckled.",""
"PedalPosition","Driving","real","","The position of the accelerator pedal.",""
"PinToDriveEnabled","Safety","boolean","","If pin to drive mode is enabled. Pin to drive requires entering a pin before shifting the vehicle out of park.",""
"PowershareHoursLeft","Charging","integer","","The number of hours remaining through Powershare.",""
"PowershareInstantaneousPowerKW","Charging","real","","Displays the current AC real power output from Power Conversion System 2 (PCS2) in Vehicle-to-Everything (V2X) mode. A positive value indicates battery discharge (power flowing out of the battery).",""
"PowershareStatus","Charging","enum","","The state of Powershare.","PowershareState"
"PowershareStopReason","Charging","enum","","The reason Powershare has stopped.","PowershareStopReasonStatus"
"PowershareType","Charging","enum","","The type of Powershare currently active.","PowershareTypeStatus"
"PreconditioningEnabled","Charging","boolean","charge_state.preconditioning_enabled","If the vehicle is preconditioning.",""
"RatedRange","Charging","real","charge_state.battery_range","The officially rated range of the vehicle given its current state of charge.",""
"RdWindow","Vehicle State","enum","vehicle_state.rd_window","The state of the rear driver window.","WindowState"
"RearDefrostEnabled","Climate","boolean","climate_state.is_rear_defroster_on","If rear defrost is enabled.",""
"RearDisplayHvacEnabled","Climate","boolean","","If HVAC is enabled on the rear display.",""
"RearSeatHeaters","Vehicle Configuration","string","vehicle_config.rear_seat_heaters","The rear seat heater package installed on the vehicle.",""
"RemoteStartEnabled","Vehicle Configuration","boolean","vehicle_state.remote_start_enabled","If the vehicle is being driven without a physical key.",""
"RightHandDrive","Vehicle Configuration","boolean","vehicle_config.rhd","If the vehicle is a right hand drive vehicle.",""
"RoofColor","Vehicle Configuration","string","vehicle_config.roof_color","The color of the roof.",""
"RouteLastUpdated","Location","timestamp","","This field is broken and does not return data.",""
"RouteLine","Location","string","","A base64 encoded polyline of the active navigation route. To extract coordinates, decode the base64 and use Google's polyline decoding algorithm. Precision 6 is used.",""
"RouteTrafficMinutesDelay","Driving","real","drive_state.active_route_traffic_minutes_delay","The number of minutes delay on the active navigation route.",""
"RpWindow","Vehicle State","enum","vehicle_state.rp_window","The state of the rear passenger window.","WindowState"
"ScheduledChargingMode","Charging","enum","charge_state.scheduled_charging_mode","The mode for scheduled charging.","ScheduledChargingModeValue"
"ScheduledChargingPending","Charging","boolean","charge_state.scheduled_charging_pending","If a charge session is scheduled.",""
"ScheduledChargingStartTime","Charging","timestamp","charge_state.scheduled_charging_start_time","The time charging is scheduled to begin. Timestamp fields report incorrectly. Treating the reported value as Pacific Time will yield the date and time in the vehicle's timezone.",""
"SeatHeaterLeft","Climate","integer","climate_state.seat_heater_left","The level of the front left seat heater. Values range from 0 (off) to 3 (high).",""
"SeatHeaterRearCenter","Climate","integer","climate_state.seat_heater_rear_center","The level of the rear center seat heater. Values range from 0 (off) to 3 (high).",""
"SeatHeaterRearLeft","Climate","integer","climate_state.seat_heater_rear_left","The level of the rear left seat heater. Values range from 0 (off) to 3 (high).",""
"SeatHeaterRearRight","Climate","integer","climate_state.seat_heater_rear_right","The level of the rear right seat heater. Values range from 0 (off) to 3 (high).",""
"SeatHeaterRight","Climate","integer","climate_state.seat_heater_right","The level of the right seat heater. Values range from 0 (off) to 3 (high).",""
"SeatVentEnabled","Climate","boolean","","If front seat ventilation is enabled.",""
"SelfDrivingMilesSinceReset","Safety","real","","The total number of miles driven using Full Self-Driving since the Self-Driving statistics were reset. A reset may occur for certain software updates, car computer replacement, factory reset, or other triggers. This field requires minimum_delta to be explicitly set to a value >= 1 and is only available on HW4 vehicles running firmware version 2025.44.25.5 or later.",""
"SemitruckPassengerSeatFoldPosition","Vehicle State","enum","","Status of the Semi passenger seat position.",""
"SemitruckTpmsPressureRe1L0","Service","real","","The last measured tire pressure of the Semi's middle axle left tire(s) in bar. L0 and L1 report measurements from one tire each from the dually.",""
"SemitruckTpmsPressureRe1L1","Service","real","","The last measured tire pressure of the Semi's middle axle left tire(s) in bar. L0 and L1 report measurements from one tire each from the dually.",""
"SemitruckTpmsPressureRe1R0","Service","real","","The last measured tire pressure of the Semi's middle axle right tire(s) in bar. R0 and R1 report measurements from one tire each from the dually.",""
"SemitruckTpmsPressureRe1R1","Service","real","","The last measured tire pressure of the Semi's middle axle right tire(s) in bar. R0 and R1 report measurements from one tire each from the dually.",""
"SemitruckTpmsPressureRe2L0","Service","real","","The last measured tire pressure of the Semi's rear axle left tire(s) in bar. L0 and L1 report measurements from one tire each from the dually.",""
"SemitruckTpmsPressureRe2L1","Service","real","","The last measured tire pressure of the Semi's rear axle left tire(s) in bar. L0 and L1 report measurements from one tire each from the dually.",""
"SemitruckTpmsPressureRe2R0","Service","real","","The last measured tire pressure of the Semi's rear axle right tire(s) in bar. R0 and R1 report measurements from one tire each from the dually.",""
"SemitruckTpmsPressureRe2R1","Service","real","","The last measured tire pressure of the Semi's rear axle right tire(s) in bar. R0 and R1 report measurements from one tire each from the dually.",""
"SemitruckTractorParkBrakeStatus","Vehicle State","enum","","The state of the Semi's tractor park brake.",""
"SemitruckTrailerParkBrakeStatus","Vehicle State","enum","","The state of the Semi's trailer park brake.",""
"SentryMode","Vehicle State","enum","vehicle_state.sentry_mode","The current state of sentry mode.","SentryModeState"
"ServiceMode","Vehicle State","boolean","vehicle_state.service_mode","If service mode is enabled.",""
"Setting24HourTime","User Preference","boolean","gui_settings.gui_24_hour_time","If 24 hour time is preferred for displaying time.",""
"SettingChargeUnit","User Preference","enum","gui_settings.gui_charge_rate_units","The preferred unit for displaying charge range.","ChargeUnitPreference"
"SettingDistanceUnit","User Preference","enum","gui_settings.gui_distance_units","The units the vehicle uses when displaying distance.","DistanceUnit"
"SettingTemperatureUnit","User Preference","enum","gui_settings.gui_temperature_units","The preferred unit for displaying temperature data.","TemperatureUnit"
"SettingTirePressureUnit","User Preference","enum","gui_settings.gui_tirepressure_units","The preferred unit for displaying pressure data.","PressureUnit"
"Soc","Charging","real","charge_state.usable_battery_level","The usable state of charge of the vehicle, as a percent of total battery capacity.",""
"SoftwareUpdateDownloadPercentComplete","Vehicle State","integer","vehicle_state.software_update.download_perc","The percent of the software update that has been downloaded. Note: during the download of one software update, this value will go from 0-100% multiple times.",""
"SoftwareUpdateExpectedDurationMinutes","Vehicle State","integer","vehicle_state.software_update.expected_duration_sec","The number of minutes a software update is estimated to take.",""
"SoftwareUpdateInstallationPercentComplete","Vehicle State","integer","vehicle_state.software_update.install_perc","The percent a software update has finished installing. Vehicles will not remain connected to Fleet Telemetry for the entire duration of a software update.",""
"SoftwareUpdateScheduledStartTime","Vehicle State","long","vehicle_state.software_update.scheduled_time_ms","The time a software update is scheduled to begin installing. Timestamp fields report incorrectly. Treating the reported value as Pacific Time will yield the date and time in the vehicle's timezone.",""
"SoftwareUpdateVersion","Vehicle State","string","vehicle_state.software_update.version","The version of an available software update.",""
"SpeedLimitMode","Vehicle State","boolean","vehicle_state.speed_limit_mode.active","If speed limit mode is enabled.",""
"SpeedLimitWarning","Safety","enum","","The speed assist level selected in vehicle settings.","SpeedAssistLevel"
"SunroofInstalled","Vehicle Configuration","enum","vehicle_config.sun_roof_installed","The installation state of a sunroof.","SunroofInstalledState"
"SuperchargerSessionTripPlanner","Charging","boolean","charge_state.supercharger_session_trip_planner","If the current supercharging session is part of a trip plan.",""
"TimeToFullCharge","Charging","real","charge_state.minutes_to_full_charge, charge_state.time_to_full_charge","The number of hours until charging is complete. If the charge session is part of a trip, this is the time until ready to continue. Otherwise, this is time until the user set limit (specified by ChargeLimitSoc).",""
"TonneauOpenPercent","Vehicle State","real","","The percent the Cybertruck's tonneau cover is open.",""
"TonneauPosition","Vehicle State","enum","","The state of the Cybertruck's tonneau.","TonneauPositionState"
"TonneauTentMode","Vehicle State","enum","","State of the Cybertruck's tonneau in relationship to tent mode.","TonneauTentModeState"
"TpmsHardWarnings","Service","enum","vehicle_state.tpms_hard_warning_fl, vehicle_state.tpms_hard_warning_fr, vehicle_state.tpms_hard_warning_rl, vehicle_state.tpms_hard_warning_rr","Indicates a tire's pressure needs to be inspected and is severely out of nominal range.","TireLocation"
"TpmsLastSeenPressureTimeFl","Service","timestamp","vehicle_state.tpms_last_seen_pressure_time_fl","The time the front left tire's pressure was last measured. Timestamp fields report incorrectly. Treating the reported value as Pacific Time will yield the date and time in the vehicle's timezone.",""
"TpmsLastSeenPressureTimeFr","Service","timestamp","vehicle_state.tpms_last_seen_pressure_time_fr","The time the front right tire's pressure was last measured. Timestamp fields report incorrectly. Treating the reported value as Pacific Time will yield the date and time in the vehicle's timezone.",""
"TpmsLastSeenPressureTimeRl","Service","timestamp","vehicle_state.tpms_last_seen_pressure_time_rl","The time the rear left tire's pressure was last measured. Timestamp fields report incorrectly. Treating the reported value as Pacific Time will yield the date and time in the vehicle's timezone.",""
"TpmsLastSeenPressureTimeRr","Service","timestamp","vehicle_state.tpms_last_seen_pressure_time_rr","The time the rear right tire's pressure was last measured. Timestamp fields report incorrectly. Treating the reported value as Pacific Time will yield the date and time in the vehicle's timezone.",""
"TpmsPressureFl","Service","real","vehicle_state.tpms_pressure_fl","The last measured tire pressure of the front left tire in bar.",""
"TpmsPressureFr","Service","real","vehicle_state.tpms_pressure_fr","The last measured tire pressure of the front right tire in bar.",""
"TpmsPressureRl","Service","real","vehicle_state.tpms_pressure_rl","The last measured tire pressure of the rear left tire in bar. Not relevant for Semi-trucks.",""
"TpmsPressureRr","Service","real","vehicle_state.tpms_pressure_fr","The last measured tire pressure of the rear right tire in bar. Not relevant for Semi-trucks.",""
"TpmsSoftWarnings","Service","enum","vehicle_state.tpms_soft_warning_fl, vehicle_state.tpms_soft_warning_fr, vehicle_state.tpms_soft_warning_rl, vehicle_state.tpms_soft_warning_rr","Indicates a tire's pressure needs to be inspected and is slightly out of nominal range.","TireLocation"
"Trim","Vehicle Configuration","string","vehicle_config.trim_badging","The trim of the vehicle.",""
"ValetModeEnabled","Vehicle State","boolean","vehicle_state.valet_mode","If valet mode is enabled.",""
"VehicleName","Vehicle Configuration","string","vehicle_state.vehicle_name","The nickname of the vehicle.",""
"VehicleSpeed","Driving","real","drive_state.speed","The speed of the vehicle is miles per hour.",""
"Version","Vehicle Configuration","string","vehicle_state.car_version","The current firmware version of the vehicle. In firmware versions earlier than 2024.44, this field returned the version of an available software update. This data is available through SoftwareUpdateVersion.",""
"WheelType","Vehicle Configuration","string","vehicle_config.wheel_type","The type of wheel installed on the vehicle.",""
"WiperHeatEnabled","Climate","boolean","climate_state.wiper_blade_heater","If the wiper heater are turned on.",""
